"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"DRX169043","Illumina MiSeq paired end sequencing of SAMD00171893","Methylomonas koyamae","Illumina MiSeq","NAGOYA","DRP007302","Genome sequencing of methane-oxidizing bacterium Methylomonas koyamae Fw12E-Y","DRS185105","","147.05","1","417992","235871351","JCM16701","WGS","GENOMIC","RANDOM"
"SRX10726368","RNA-seq of Methylomicrobium buryatense","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","Nanjing Agricultural University","SRP318081","Methylotuvimicrobium buryatense strain:5GB1C Transcriptome or Gene expression","SRS8615041","","2451.39","1","26822098","8046629400","Copper free","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX10726276","RNA-seq of Methylomicrobium buryatense","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","Nanjing Agricultural University","SRP318081","Methylotuvimicrobium buryatense strain:5GB1C Transcriptome or Gene expression","SRS8615041","","2434.72","1","26460084","7938025200","Copper containing","RNA-Seq","TRANSCRIPTOMIC","RT-PCR"
"SRX10721377","Genome sequencing of Methylovulum psychrotolerans S1L","Methylovulum psychrotolerans","Illumina NovaSeq 6000","Tampere University","SRP317985","Methylovulum psychrotolerans strain:S1L Genome sequencing","SRS8811775","","411.96","1","4440242","1332072600","S1L_short","WGS","GENOMIC","RANDOM"
"SRX10721376","Genome sequencing of Methylovulum psychrotolerans S1L","Methylovulum psychrotolerans","Sequel","Tampere University","SRP317985","Methylovulum psychrotolerans strain:S1L Genome sequencing","SRS8811775","","374.46","1","190492","1554473492","S1L_long","WGS","GENOMIC","RANDOM"
"SRX10677444","Illumina Novaseq genome library of Methylomonas sp. strain S2AM","Methylomonas paludis","Illumina NovaSeq 6000","Tampere University","SRP316287","Methylomonas paludis strain:S2AM Genome sequencing","SRS8771325","","336.06","1","3771793","1131537900","S2AM_short","WGS","GENOMIC","RANDOM"
"SRX10677443","PacBio genome library of Methylomonas sp. strain S2AM","Methylomonas paludis","Sequel","Tampere University","SRP316287","Methylomonas paludis strain:S2AM Genome sequencing","SRS8771325","","392.02","1","168230","1628147501","S2AM_long","WGS","GENOMIC","RANDOM"
"SRX10640719","M9","Methylomonas","Illumina MiSeq","Research Center of Biotechnology RAS","SRP315339","Thermotolerant Methanotrophic Bacteria From Sediments Of The River Chernaya, Crimea.","SRS8736948","","3.85","1","26986","6773598","SN1","WGS","OTHER","PCR"
"DRX245393","Complete Genomics paired end sequencing of SAMD00258417","Methylocaldum marinum","Complete Genomics","AIST","DRP007111","Transcriptome analysis of Methylocaldum marinum S8","DRS177847","","6236.03","1","68506114","10275917100","S8-2","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"DRX245392","Complete Genomics paired end sequencing of SAMD00258418","Methylocaldum marinum","Complete Genomics","AIST","DRP007111","Transcriptome analysis of Methylocaldum marinum S8","DRS177848","","5657.21","1","61993502","9299025300","S8-1","RNA-Seq","TRANSCRIPTOMIC","Oligo-dT"
"SRX10497059","CRISPRi of M. buryatense 5GB1C","Methylotuvimicrobium buryatense","Illumina MiSeq","Nanjing Agricultural University","SRP312878","Functional genomics of Methylomicrobium buryatense","SRS8615041","","1753.42","1","20722150","6178533409","liF","AMPLICON","SYNTHETIC","PCR"
"SRX10497028","CRISPRi of M. buryatense 5GB1C","Methylotuvimicrobium buryatense","Illumina MiSeq","Nanjing Agricultural University","SRP312878","Functional genomics of Methylomicrobium buryatense","SRS8615041","","1425.76","1","16882446","5036951622","Copper free+dCas9-4d","AMPLICON","SYNTHETIC","PCR"
"SRX10489258","CRISPRi of M. buryatense 5GB1C","Methylotuvimicrobium buryatense","Illumina MiSeq","Nanjing Agricultural University","SRP312878","Functional genomics of Methylomicrobium buryatense","SRS8615041","","1747.21","1","20554990","6131622570","Copper free-dCas9-4d","AMPLICON","SYNTHETIC","PCR"
"SRX10489256","CRISPRi of M. buryatense 5GB1C","Methylotuvimicrobium buryatense","Illumina MiSeq","Nanjing Agricultural University","SRP312878","Functional genomics of Methylomicrobium buryatense","SRS8615041","","1653.52","1","19322205","5754681400","NMS2+dCas9-4d","AMPLICON","SYNTHETIC","PCR"
"SRX10489136","CRISPRi of M. buryatense 5GB1C","Methylotuvimicrobium buryatense","Illumina MiSeq","Nanjing Agricultural University","SRP312878","Functional genomics of Methylomicrobium buryatense","SRS8615041","","1383.76","1","16395545","4891317593","NMS2-dCas9-4d","AMPLICON","SYNTHETIC","PCR"
"SRX10488950","CRISPRi of M. buryatense 5GB1C","Methylotuvimicrobium buryatense","Illumina MiSeq","Nanjing Agricultural University","SRP312878","Functional genomics of Methylomicrobium buryatense","SRS8615041","","862.92","1","9391654","2817496200","Copper free+dCas9-0h","AMPLICON","SYNTHETIC","PCR"
"SRX10488949","CRISPRi of M. buryatense 5GB1C","Methylotuvimicrobium buryatense","Illumina MiSeq","Nanjing Agricultural University","SRP312878","Functional genomics of Methylomicrobium buryatense","SRS8615041","","1249.54","1","13468036","4040410800","Copper free-dCas9-0h","AMPLICON","SYNTHETIC","PCR"
"SRX10488863","CRISPRi of M. buryatense 5GB1C","Methylotuvimicrobium buryatense","Illumina MiSeq","Nanjing Agricultural University","SRP312878","Functional genomics of Methylomicrobium buryatense","SRS8615041","","901.02","1","9372539","2811761700","NMS2+dCas9-0h","AMPLICON","SYNTHETIC","PCR"
"SRX10488671","CRISPRi of M. buryatense 5GB1C","Methylotuvimicrobium buryatense","Illumina MiSeq","Nanjing Agricultural University","SRP312878","Functional genomics of Methylomicrobium buryatense","SRS8615041","","1253.67","1","13332615","3999784500","NMS2-dCas9-0h","AMPLICON","SYNTHETIC","PCR"
"SRX10121823","WGS of Methylococcus sp. EFPC2","Methylococcus sp. EFPC2","GridION","University of Michigan","SRP306889","Characterization of methanotrophs from mercury contaminated streams","SRS8276478","","2827.99","1","136052","3298471656","EFPC2_L","WGS","GENOMIC","RANDOM"
"SRX10121822","WGS of Methylococcus sp. EFPC2","Methylococcus sp. EFPC2","Illumina MiSeq","University of Michigan","SRP306889","Characterization of methanotrophs from mercury contaminated streams","SRS8276478","","332.85","1","1189841","597300182","EFPC2_S","WGS","GENOMIC","RANDOM"
